"ID","Name","RA","DEC","Obj. Type","Repeater of Primary Burst","DM","DM-Err","DM-Units","Gal. DM Limit","Gal. DM Model","Barycentric Datetime","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"55122","FRB 20190606A","14:35:36.000","+53:16:48.00","FRB","20190604A","551.57","1.62","pc/cc","31.65","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40949542","","","1","1","2020-03-27","","","2019-06-06 05:34:31.521","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55887","FRB 20190605D","01:47:00.000","+28:37:12.00","FRB","","1653.08","3.23","pc/cc","48.99","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40749955","","","1","1","2021-06-09","","","2019-06-05 16:53:06.094","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55886","FRB 20190605C","11:13:31.200","-05:11:24.00","FRB","","186.01","1.62","pc/cc","37.93","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40608623","","","1","1","2021-06-09","","","2019-06-05 02:20:46.953","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55121","FRB 20190605B","01:57:52.800","+65:43:48.00","FRB","20180916B","349.38","12.94","pc/cc","104.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40750656","","","1","1","2020-03-27","","","2019-06-05 17:02:31.036","CHIME_FRB_bot","","2020TNSFR.891....1Z","",""
"55120","FRB 20190605A","01:43:31.200","+65:43:12.00","FRB","20180916B","352.61","3.23","pc/cc","93.51","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40750224","","","1","1","2020-03-27","","","2019-06-05 16:56:04.898","CHIME_FRB_bot","","2020TNSFR.892....1Z","",""
"55885","FRB 20190604G","08:03:04.800","+59:30:00.00","FRB","","231.3","1.62","pc/cc","51.49","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40594289","","","1","1","2021-06-09","","","2019-06-04 23:12:26.554","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55884","FRB 20190604F","01:59:14.400","+65:43:48.00","FRB","20180916B","352.61","3.23","pc/cc","104.32","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40363754","","","1","1","2020-03-30","","","2019-06-04 17:11:39.872","CHIME_FRB_bot","","2020TNSFR.928....1Z","",""
"55883","FRB 20190604E","15:42:24.000","+32:04:12.00","FRB","","1217.98","1.62","pc/cc","26.06","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40229743","","","1","1","2021-06-09","","","2019-06-04 06:55:49.821","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55882","FRB 20190604D","13:19:52.800","+15:43:48.00","FRB","","1020.64","1.62","pc/cc","24.85","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40224690","","","1","1","2021-06-09","","","2019-06-04 04:31:39.635","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
"55531","FRB 20190604C","05:09:36.000","+49:18:00.00","FRB","","504.66","12.94","pc/cc","163.82","NE2001","","","","","CHIMEFRB","CHIMEFRB","","CHIMEFRB","40527948","","","1","1","2021-06-09","","","2019-06-04 20:17:40.883","CHIME_FRB_bot","","2021TNSFR2007....1Z","",""
